Customer ID,Fname,Lname,Postal Code,City,State,Region,Salary,Gender,Age,Style,Email,Career,Phone,Car_id,Car_series,Car_type,Car_colors,Car_Price,Branch_ID,Branch_Name,Branch_Tel,Branch_Zipcode,Branch_City,Branch_State,Branch_Region,Payment ID,Payment Date,Payment Method,Amount,Car ID,Order_ID,Car ID,Branch ID,payment_id,Order_date,Quantity,options
6-895-8878-66,Sage,Delacruz,93301,Bakersfield,California,Western,"15,938.00",M,63,slow,Sage.Delacruz@ google.com,Paramedic,1-895-669-645,BMW-mX1-SV,X1,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Mineral White Metallic, Phytonic Blue Metallic, Portimao Blue Metallic, Storm Bay Metallic, San Remo Green Metallic, Frozen Pure Grey Metallic, Blue Bay Lagoon Metallic, Cape York Green Metallic, Utah Orange Metallic, Space Silver Metallic","$39,100",BX-406-070,Century BMW,855-237-4946,36816,Huntsville,Alabama,Southeastern,PM8-565-448Y,5/1/2018,pay by installments,"$39,100",BMW-mX1-SV,648-789-9957,BMW-m2S-SD,BX-406-070,PM8-565-448Y,2/1/2018,1,Pickup
0-998-9324-60,Emery,Collins,75201,Dallas,Texas,Southwestern,"47,107.00",F,60,fast,Emery.Collins@ google.com,Teacher Assistant,1-951-913-180,BMW-mX3-SV,X3,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Tanzanite Blue II Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic","$46,200",BX-391-918,BMW of Birmingham,800-618-6695,35210,Irondale,Alabama,Southeastern,PM9-237-633Y,6/1/2018,paid in full,"$46,200",BMW-mX3-SV,380-030-3474,BMW-S4-CVB,BX-391-918,PM9-237-633Y,3/1/2018,1,Delivery
7-978-3459-64,Bridger,Sheppard,60601,Chicago,Illinois,MidWestern,"19,661.00",M,57,medium,Bridger.Sheppard@ google.com,Housekeeper,1-841-530-389,BMW-mX4-SV,X4,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Piemont Red, Tanzanite Blue II Metallic, Brooklyn Grey Metallic, Aventurin Red Metallic","$54,200",BX-316-585,BMW of Mobile,877-360-1111,36606,Mobile,Alabama,Southeastern,PM5-081-136Y,9/1/2018,paid in full,"$54,200",BMW-mX4-SV,290-550-8482,BMW-S8c-CP,BX-316-585,PM5-081-136Y,8/1/2018,1,Pickup
8-279-6179-38,Braeden,Leonard,95202,Stockton,California,Western,"7,578.00",F,41,fast ,Braeden.Leonard@ google.com,Designer,1-019-439-805,BMW-mX5-SV,X5,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Sparkling Brown Metallic, Phytonic Blue Metallic, Manhattan Green Metallic ","$61,600",BX-963-993,BMW of Montgomery,800-255-7181,36117,Montgomery,Alabama,Southeastern,PM7-252-913Y,12/1/2018,paid in full,"$61,600",BMW-mX5-SV,259-212-1390,BMW-mIX-SV,BX-963-993,PM7-252-913Y,11/1/2018,1,Pickup
4-411-4351-20,Kendrick,Farmer,85251,Scottsdale,Arizona,Southwestern,"22,195.00",M,38,fast,Kendrick.Farmer@ google.com,Medical Assistant,1-691-137-449,BMW-mX6-SV,X6,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Sparkling Brown Metallic, Flamenco Red Metallic, Phytonic Blue Metallic,  Manhattan Green Metallic  ","$70,100",BX-294-703,BMW of Tuscaloosa,205-345-9811,35405,Tuscaloosa,Alabama,Southeastern,PM9-284-984Y,13/1/2018,paid in full,"$70,100",BMW-mX6-SV,694-968-1293,BMW-S8-CVB,BX-294-703,PM9-284-984Y,11/1/2018,1,Pickup
6-712-9291-07,Julius,Whitaker,79901,El Paso,Texas,Southwestern,"6,611.00",F,51,slow,Julius.Whitaker@ google.com,Personal Care Aide,1-188-274-145,BMW-mX7-SV,X7,SAVs,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Blue Ridge Mountain Metallic, Dravit Grey Metallic, Manhattan Green Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Sparkling Copper Metallic ","$77,850",BX-420-369,BMW of Anchorage,877-606-8867,99501,Anchorage,Alaska,Northwest,PM1-375-491Y,13/1/2018,paid in full,"$77,850",BMW-mX7-SV,010-350-4438,BMW-M4-CVB,BX-420-369,PM1-375-491Y,15/1/2018,1,Pickup
2-817-0039-61,Rigoberto,Rush,76010,Arlington,Texas,Southwestern,"43,149.00",F,53,slow,Rigoberto.Rush@ google.com,Educator,1-345-389-236,BMW-X3M-SV,X3 M,SAVs,"Alpine White, Sao Paulo Yellow,  Carbon Black Metallic, Black Sapphire Metallic, Dark Graphite Metallic, Marina Bay Blue Metallic, Toronto Red Metallic, Brooklyn Grey Metallic","$74,400",BX-042-939,Chapman of Chandler,400-342-0836,85226,Chandler,Arizona,Northwest,PM1-647-100Y,18/1/2018,paid in full,"$74,400",BMW-X3M-SV,185-563-9379,BMW-m8S-SD,BX-042-939,PM1-647-100Y,15/1/2018,1,Pickup
0-561-8432-76,Trevor,Hess,37201,Nashville-Davidson,Tennessee,Southeastern,"32,412.00",M,39,slow,Trevor.Hess@ google.com,Web Developer,1-613-640-899,BMW-X4M-SV,X4 M,SAVs,"Alpine White, Sao Paulo Yellow, Carbon Black Metallic, Black Sapphire Metallic, Dark Graphite Metallic, Marina Bay Blue Metallic, Toronto Red Metallic, Brooklyn Grey Metallic","$77,900",BX-979-972,Arrowhead BMW,984-141-3420,85308,Glendale,Arizona,Northwest,PM2-146-223Y,23/1/2018,paid in full,"$77,900",BMW-X4M-SV,815-697-4555,BMW-mX1-SV,BX-979-972,PM2-146-223Y,17/1/2018,1,Pickup
2-358-7062-46,Nasir,Berry,14604,Rochester,New York,Northeastern,"8,778.00",F,25,slow,Nasir.Berry@ google.com,Drafter,1-627-025-395,BMW-X5M-SV,X5 M,SAVs,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Marina Bay Blue Metallic, Donington Grey Metallic, Dravit Grey Metallic, Toronto Red Metallic","$108,900",BX-527-880,BMW North Scottsdale,480-568-2569,85054,Phoenix,Arizona,Northwest,PM5-760-076Y,25/1/2018,pay by installments,"$108,900",BMW-X5M-SV,236-500-5236,BMW-mX7-SV,BX-527-880,PM5-760-076Y,18/1/2018,1,Pickup
9-014-4336-34,Gustavo,Richardson,43604,Toledo,Ohio,MidWestern,"66,772.00",F,36,fast,Gustavo.Richardson@ google.com,Bus Driver,1-413-429-119,BMW-X6M-SV,X6 M,SAVs,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Marina Bay Blue Metallic, Donington Grey Metallic, Dravit Grey Metallic, Toronto Red Metallic","$113,700",BX-190-619,Chapman BMW on Camelback,260-770-7135,85014,Phoenix,Arizona,Northwest,PM5-077-617Y,26/1/2018,pay by installments,"$113,700",BMW-X6M-SV,278-512-9524,BMW-m5S-SD,BX-190-619,PM5-077-617Y,21/1/2018,1,Pickup
3-161-5539-21,Leonel,Mckay,73102,Oklahoma City,Oklahoma,Southwestern,"6,186.00",M,64,medium,Leonel.Mckay@ google.com,School Counselor,1-403-214-079,BMW-mIX-SV,IX,SAVs,"Alpine White, Black Sapphire Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Blue Ridge Mountain Metallic, Storm Bay Metallic, Oxide Grey Metallic, Aventurin Red Metallic ","$87,100",BX-845-420,BMW of Tuscon,520-200-1201,85705,Tuscon,Arizona,Northwest,PM5-664-744Y,26/1/2018,pay by installments,"$87,100",BMW-mIX-SV,447-359-1417,BMW-S4c-CP,BX-845-420,PM5-664-744Y,22/1/2018,1,Pickup
7-141-6595-44,Leo,Cobb,23320,Chesapeake,Virginia,Southeastern,"32,930.00",F,62,medium,Leo.Cobb@ google.com,Actor,1-808-273-975,BMW-mXM-SV,XM,SAVs,"Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Marina Bay Blue Metallic, Dravit Grey Metallic, Toronto Red Metallic, Cape York Green Metallic","$159,000",BX-727-000,BMW of Northwest Arkansas,479-286-3012,72712,Little Rock,Arkansas,South Central,PM8-641-107Y,28/1/2018,pay by installments,"$159,000",BMW-mXM-SV,467-312-8900,BMW-M8c-CP,BX-727-000,PM8-641-107Y,23/1/2018,1,Pickup
5-291-2731-57,Noe,Conner,85301,Glendale,Arizona,Southwestern,"61,480.00",F,40,medium,Noe.Conner@ google.com,Preschool Teacher,1-679-816-292,BMW-m2S-SD,Series 2,Sedans,"Alpine White, Jet Black, Black Sapphire Metallic, Melbourne Red Metallic, Mineral White Metallic, Misano Blue Metallic, Snapper Rocks Blue Metallic, Phytonic Blue Metallic, Sunset Orange Metallic, Storm Bay Metallic, Skyscraper Grey Metallic ","$37,800",BX-587-204,BMW of Little Rock,780-271-2563,72210,Bentonville,Arkansas,South Central,PM8-278-588Y,28/1/2018,pay by installments,"$37,800",BMW-m2S-SD,453-584-9005,BMW-Z4-CVB,BX-587-204,PM8-278-588Y,24/1/2018,1,Pickup
1-155-0277-46,Adriel,Davila,19103,Philadelphia,Pennsylvania,Northeastern,"43,887.00",M,33,fast,Adriel.Davila@ google.com,IT Manager,1-130-293-323,BMW-m3S-SD,Series 3,Sedans,"Alpine White, Jet Black, Black Sapphire Metallic, Melbourne Red Metallic, Mineral White Metallic, Phytonic Blue Metallic, Portimao Blue Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, Brooklyn Grey Metallic,  Skyscraper Grey Metallic","$43,800",BX-933-793,New Century BMW,927-214-2702,91801,Alhambra,California,Western,PM5-799-553Y,31/1/2018,pay by installments,"$43,800",BMW-m3S-SD,303-348-0629,BMW-S2c-CP,BX-933-793,PM5-799-553Y,25/1/2018,1,Pickup
6-694-6683-51,Rashad,Arnold,67202,Wichita,Kansas,MidWestern,"5,912.00",F,64,slow,Rashad.Arnold@ google.com,Receptionist,1-195-811-611,BMW-m4S-SD,Series 4,Sedans,"Alpine White, Jet Black, Black Sapphire Metallic, Sunset Orange Metallic, Portimao Blue Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, San Remo Green Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic","$45,200",BX-157-789,BMW of Bakersfield,850- 622-4728,93313,Bakersfield,California,Western,PM0-440-342Y,6/2/2018,pay by installments,"$45,200",BMW-m4S-SD,679-526-8304,BMW-mM8-SD,BX-157-789,PM0-440-342Y,27/1/2018,1,Pickup
5-043-7219-06,Trent,Tanner,89101,Las Vegas,Nevada,Western,"35,712.00",M,61,fast,Trent.Tanner@ google.com,High School Teacher,1-591-638-531,BMW-m5S-SD,Series 5,Sedans,"Alpine White, Jet Black, Carbon Black Metallic, Black Sapphire Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Arctic Race Blue Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic","$56,000",BX-078-551,Weatherford BMW,253- 082-5948,94710,Berkeley,California,Western,PM8-752-737Y,8/2/2018,paid in full,"$56,000",BMW-m5S-SD,818-761-9582,BMW-mX6-SV,BX-078-551,PM8-752-737Y,1/2/2018,1,Pickup
1-517-1035-26,Korbin,Hurley,92401,San Bernardino,California,Western,"36,313.00",F,25,medium,Korbin.Hurley@ google.com,Plumber,1-483-360-486,BMW-m7S-SD,Series 7,Sedans,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, Oxide Grey Metallic, Brooklyn Grey Metallic, Aventurin Red Metallic, Frozen Pure Grey Metallic, Frozen Deep Grey","$95,700",BX-216-115,BMW of Buena Park,252- 447-1502,90621,Buena Park,California,Western,PM6-224-557Y,13/2/2018,pay by installments,"$95,700",BMW-m7S-SD,520-589-5112,BMW-mM3-SD,BX-216-115,PM6-224-557Y,2/2/2018,1,Delivery
4-259-1558-33,Randy,Stark,94102,San Francisco, California,Western,"53,847.00",M,27,slow,Randy.Stark@ google.com,Computer Hardware Engineer,1-819-745-984,BMW-m8S-SD,Series 8,Sedans,"Alpine White, Carbon Black Metallic,Black Sapphire Metallic,Mineral White Metallic,Sunset Orange Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Tanzanite Blue Metallic","$87,500",BX-450-762,Bob Smith BMW,146- 862-2791,91302,Calabasa,California,Western,PM7-906-584Y,15/2/2018,pay by installments,"$87,500",BMW-m8S-SD,092-864-9003,BMW-X5M-SV,BX-450-762,PM7-906-584Y,7/2/2018,1,Delivery
2-821-3771-55,Johnny,Carr,30303,Atlanta,Georgia,Southeastern,"27,098.00",M,55,slow,Johnny.Carr@ google.com,Editor,1-316-772-559,BMW-mM3-SD,M3,Sedans,"Alpine White,Sao Paulo Yellow,Black Sapphire Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Toronto Red Metallic,Tanzanite Blue II Metallic,Isle Of Man Green Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Brilliant White Metallic,Frozen Portimao Blue Metallic,Frozen Pure Grey II Metallic","$74,300",BX-623-963,Steve Thomas BMW ,631- 272-2687,93010,Camarillo,California,Western,PM7-579-910Y,15/2/2018,paid in full,"$74,300",BMW-mM3-SD,024-277-9273,BMW-M2c-CP,BX-623-963,PM7-579-910Y,8/2/2018,1,Delivery
0-230-7942-49,Kristian,Williams,32202,Jacksonville,Florida,Southeastern,"8,961.00",M,64,slow,Kristian.Williams@ google.com,College Professor,1-917-256-688,BMW-mM5-SD,M5,Sedans,"Alpine White,Black Sapphire Metallic,Dark Graphite Metallic,Marina Bay Blue Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Alvite Grey Metallic","$109,000",BX-698-356,BMW of Chico,815- 654-5713,95973,Chico,California,Western,PM7-143-877Y,16/2/2018,paid in full,"$109,000",BMW-mM5-SD,736-829-6400,BMW-mX3-SV,BX-698-356,PM7-143-877Y,10/2/2018,1,Delivery
5-459-9879-81,Yahir,Sampson,85255,Scottsdale,Arizona,Southwestern,"53,402.00",F,47,fast,Yahir.Sampson@ google.com,Physicist,1-786-450-921,BMW-mM8-SD,M8,Sedans,"Alpine White,Black Sapphire Metallic,Marina Bay Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,Isle Of Man Green Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Tanzanite Blue Metallic","$134,100",BX-043-466,BMW Concord,403- 741-0125,94520,Concord,California,Western,PM6-692-659Y,16/2/2018,pay by installments,"$134,100",BMW-mM8-SD,453-425-5073,BMW-mI4-SD,BX-043-466,PM6-692-659Y,10/2/2018,1,Delivery
5-738-9111-23,Finnegan,Kidd,73104,Oklahoma City, Oklahoma,Southwestern,"5,912.00",F,52,medium,Finnegan.Kidd@ google.com,School Psychologist,1-630-117-927,BMW-mI4-SD,i4,Sedans,"Alpine White,Jet Black,Black Sapphire Metallic, Mineral White Metallic,Sunset Orange Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic","$52,000",BX-898-634,BMW of EI Cajon,338- 417-7301,92020,EI cajon,California,Western,PM5-549-767Y,17/2/2018,pay by installments,"$52,000",BMW-mI4-SD,727-807-9217,BMW-M8-CVB,BX-898-634,PM5-549-767Y,12/2/2018,1,Delivery
6-381-5206-51,Elian,Campos,33701,St. Petersburg, Florida,Southeastern,"12,540.00",F,38,medium,Elian.Campos@ google.com,Painter,1-428-880-603,BMW-mI7-SD,i7,Sedans,"Alpine White,Carbon Black Metallic,Black Sapphire Metallic,Dark Graphite Metallic,Mineral White Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,Oxide Grey Metallic,Brooklyn Grey Metallic,Sparkling Copper Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Deep Grey,Space Silver Metallic","$119,300",BX-833-089,Niello BMW Elk Grove,316- 569-8396,95757,Elk Grove,California,Western,PM2-955-147Y,17/2/2018,paid in full,"$119,300",BMW-mI7-SD,971-186-1984,BMW-m3S-SD,BX-833-089,PM2-955-147Y,15/2/2018,1,Delivery
1-085-1242-75,Mohamed,Mccullough,7302,Jersey City, New Jersey,Northeastern,"50,660.00",M,26,fast,Mohamed.Mccullough@ google.com,Human Resources Assistant,1-405-632-008,BMW-S2c-CP,Series 2 COUPE,Coupe,"Alpine White,Jet Black,Black Sapphire Metallic, Melbourne Red Metallic, Mineral White Metallic, Thundernight Metallic","$38,200",BX-392-453,BMW Encinitas,162- 770-8667,92024,Encinitas,California,Western,PM3-396-388Y,18/2/2018,pay by installments,"$38,200",BMW-S2c-CP,379-623-8998,BMW-m7S-SD,BX-392-453,PM3-396-388Y,16/2/2018,1,Delivery
